name,gender,race,length,fl_is_v,ll_is_v,first_2,last_2,first_3,last_3
gerardo,0,1,7,0,1,ge,do,ger,rdo
erie,0,1,4,1,1,er,ie,eri,rie
rutilio,0,1,7,0,1,ru,io,rut,lio
esmildo,0,1,7,1,1,es,do,esm,ldo
david,0,1,5,0,0,da,id,dav,vid
gary,0,1,4,0,0,ga,ry,gar,ary
jamie,0,1,5,0,1,ja,ie,jam,mie
marcos,0,1,6,0,0,ma,os,mar,cos
reyldo,0,1,6,0,1,re,do,rey,ldo
vicente,0,1,7,0,1,vi,te,vic,nte
alnesto,0,1,7,1,1,al,to,aln,sto
ruben,0,1,5,0,0,ru,en,rub,ben
rafael,0,1,6,0,0,ra,el,raf,ael
gilberto,0,1,8,0,1,gi,to,gil,rto
maikel,0,1,6,0,0,ma,el,mai,kel
louis,0,1,5,0,0,lo,is,lou,uis
jason,0,1,5,0,0,ja,on,jas,son
jorge,0,1,5,0,1,jo,ge,jor,rge
justino,0,1,7,0,1,ju,no,jus,ino
victor,0,1,6,0,0,vi,or,vic,tor
alej,0,1,4,1,0,al,ej,ale,lej
jaime,0,1,5,0,1,ja,me,jai,ime
john,0,1,4,0,0,jo,hn,joh,ohn
pascacio,0,1,8,0,1,pa,io,pas,cio
abel,0,1,4,1,0,ab,el,abe,bel
hugo,0,1,4,0,1,hu,go,hug,ugo
gabriel,0,1,7,0,0,ga,el,gab,iel
bryan,0,1,5,0,0,br,an,bry,yan
cristian,0,1,8,0,0,cr,an,cri,ian
yohen,0,1,5,0,0,yo,en,yoh,hen
ariel,0,1,5,1,0,ar,el,ari,iel
eliezer,0,1,7,1,0,el,er,eli,zer
frutuoso,0,1,8,0,1,fr,so,fru,oso
humberto,0,1,8,0,1,hu,to,hum,rto
stephen,0,1,7,0,0,st,en,ste,hen
tomas,0,1,5,0,0,to,as,tom,mas
yovanny,0,1,7,0,0,yo,ny,yov,nny
astor,0,1,5,1,0,as,or,ast,tor
elizel,0,1,6,1,0,el,el,eli,zel
nicolas,0,1,7,0,0,ni,as,nic,las
joselito,0,1,8,0,1,jo,to,jos,ito
edwin,0,1,5,1,0,ed,in,edw,win
edil,0,1,4,1,0,ed,il,edi,dil
mariano,0,1,7,0,1,ma,no,mar,ano
frank,0,1,5,0,0,fr,nk,fra,ank
mailor,0,1,6,0,0,ma,or,mai,lor
otilio,0,1,6,1,1,ot,io,oti,lio
iharo,0,1,5,1,1,ih,ro,iha,aro
yosnel,0,1,6,0,0,yo,el,yos,nel
eugenio,0,1,7,1,1,eu,io,eug,nio
benigno,0,1,7,0,1,be,no,ben,gno
roy,0,1,3,0,0,ro,oy,roy,roy
emilio,0,1,6,1,1,em,io,emi,lio
jairo,0,1,5,0,1,ja,ro,jai,iro
yulier,0,1,6,0,0,yu,er,yul,ier
ovidio,0,1,6,1,1,ov,io,ovi,dio
benito,0,1,6,0,1,be,to,ben,ito
ian,0,1,3,1,0,ia,an,ian,ian
arnesto,0,1,7,1,1,ar,to,arn,sto
wilbert,0,1,7,0,0,wi,rt,wil,ert
pierre,0,1,6,0,1,pi,re,pie,rre
yilberto,0,1,8,0,1,yi,to,yil,rto
seth,0,1,4,0,0,se,th,set,eth
amardo,0,1,6,1,1,am,do,ama,rdo
agustin,0,1,7,1,0,ag,in,agu,tin
gratto,0,1,6,0,1,gr,to,gra,tto
jeremy,0,1,6,0,0,je,my,jer,emy
rodrigo,0,1,7,0,1,ro,go,rod,igo
kenneth,0,1,7,0,0,ke,th,ken,eth
marco,0,1,5,0,1,ma,co,mar,rco
bobby,0,1,5,0,0,bo,by,bob,bby
billy,0,1,5,0,0,bi,ly,bil,lly
norberto,0,1,8,0,1,no,to,nor,rto
alexis,0,1,6,1,0,al,is,ale,xis
arm,0,1,3,1,0,ar,rm,arm,arm
mario,0,1,5,0,1,ma,io,mar,rio
ralph,0,1,5,0,0,ra,ph,ral,lph
nelson,0,1,6,0,0,ne,on,nel,son
mateo,0,1,5,0,1,ma,eo,mat,teo
ramiro,0,1,6,0,1,ra,ro,ram,iro
edilsar,0,1,7,1,0,ed,ar,edi,sar
eliseo,0,1,6,1,1,el,eo,eli,seo
osvaldo,0,1,7,1,1,os,do,osv,ldo
richard,0,1,7,0,0,ri,rd,ric,ard
wilmer,0,1,6,0,0,wi,er,wil,mer
elvin,0,1,5,1,0,el,in,elv,vin
risquermi,0,1,9,0,1,ri,mi,ris,rmi
hyosvany,0,1,8,0,0,hy,ny,hyo,any
eric,0,1,4,1,0,er,ic,eri,ric
jomar,0,1,5,0,0,jo,ar,jom,mar
justo,0,1,5,0,1,ju,to,jus,sto
adrian,0,1,6,1,0,ad,an,adr,ian
charles,0,1,7,0,0,ch,es,cha,les
tony,0,1,4,0,0,to,ny,ton,ony
troy,0,1,4,0,0,tr,oy,tro,roy
johnel,0,1,6,0,0,jo,el,joh,nel
elias,0,1,5,1,0,el,as,eli,ias
osny,0,1,4,1,0,os,ny,osn,sny
freddy,0,1,6,0,0,fr,dy,fre,ddy
gonzalo,0,1,7,0,1,go,lo,gon,alo
joseph,0,1,6,0,0,jo,ph,jos,eph
yamil,0,1,5,0,0,ya,il,yam,mil
geraro,0,1,6,0,1,ge,ro,ger,aro
adam,0,1,4,1,0,ad,am,ada,dam
ulises,0,1,6,1,0,ul,es,uli,ses
lui,0,1,3,0,1,lu,ui,lui,lui
nicholas,0,1,8,0,0,ni,as,nic,las
yordany,0,1,7,0,0,yo,ny,yor,any
augustin,0,1,8,1,0,au,in,aug,tin
gero,0,1,4,0,1,ge,ro,ger,ero
wilson,0,1,6,0,0,wi,on,wil,son
roemy,0,1,5,0,0,ro,my,roe,emy
stalin,0,1,6,0,0,st,in,sta,lin
yan,0,1,3,0,0,ya,an,yan,yan
geronimo,0,1,8,0,1,ge,mo,ger,imo
matias,0,1,6,0,0,ma,as,mat,ias
samuel,0,1,6,0,0,sa,el,sam,uel
rogerio,0,1,7,0,1,ro,io,rog,rio
julius,0,1,6,0,0,ju,us,jul,ius
octavio,0,1,7,1,1,oc,io,oct,vio
lazaro,0,1,6,0,1,la,ro,laz,aro
jordan,0,1,6,0,0,jo,an,jor,dan
alvaro,0,1,6,1,1,al,ro,alv,aro
pascual,0,1,7,0,0,pa,al,pas,ual
lester,0,1,6,0,0,le,er,les,ter
astacio,0,1,7,1,1,as,io,ast,cio
filiberto,0,1,9,0,1,fi,to,fil,rto
jeremia,0,1,7,0,1,je,ia,jer,mia
rodolfo,0,1,7,0,1,ro,fo,rod,lfo
erick,0,1,5,1,0,er,ck,eri,ick
carmelo,0,1,7,0,1,ca,lo,car,elo
oliver,0,1,6,1,0,ol,er,oli,ver
yeramis,0,1,7,0,0,ye,is,yer,mis
gregorio,0,1,8,0,1,gr,io,gre,rio
kevin,0,1,5,0,0,ke,in,kev,vin
rico,0,1,4,0,1,ri,co,ric,ico
gamaliel,0,1,8,0,0,ga,el,gam,iel
obed,0,1,4,1,0,ob,ed,obe,bed
