name,gender,race,length
abigail,1,0,7
lutrische,1,0,9
delois,1,0,6
gabrielle,1,0,9
marvette,1,0,8
senita,1,0,6
janine,1,0,6
carlita,1,0,7
chinnetta,1,0,9
debra,1,0,5
delores,1,0,7
rochelle,1,0,8
starr,1,0,5
susie,1,0,5
takcola,1,0,7
tawrshia,1,0,8
teka,1,0,4
dymond,1,0,6
latarsha,1,0,8
renee,1,0,5
terrani,1,0,7
everlyn,1,0,7
daysha,1,0,6
quansh,1,0,6
shantae,1,0,7
venecia,1,0,7
keshia,1,0,6
dierdre,1,0,7
ernestine,1,0,9
laurie,1,0,6
mariela,1,0,7
orlesa,1,0,6
tammie,1,0,6
carine,1,0,6
jane,1,0,4
titilayo,1,0,8
qmetee,1,0,6
june,1,0,4
jessie,1,0,6
zoro,1,0,4
sonji,1,0,5
kendrioa,1,0,8
zenithia,1,0,8
guecoba,1,0,7
sarethya,1,0,8
yarkmealer,1,0,10
fermisha,1,0,8
sherese,1,0,7
kathryn,1,0,7
shanice,1,0,7
jerrica,1,0,7
lakeisha,1,0,8
batsheba,1,0,8
angeti,1,0,6
cortney,1,0,7
tamarra,1,0,7
tarron,1,0,6
monica,1,0,6
ian,1,0,3
jimmiel,1,0,7
thursday,1,0,8
brittany,1,0,8
phadael,1,0,7
delia,1,0,5
ersela,1,0,6
kayla,1,0,5
mikesha,1,0,7
laporshia,1,0,9
tyrisha,1,0,7
laquita,1,0,7
melonea,1,0,7
shantavious,1,0,11
keisha,1,0,6
georgette,1,0,9
vickie,1,0,6
laneka,1,0,6
michelle,1,0,8
idala,1,0,5
quanesha,1,0,8
tenecia,1,0,7
tiesha,1,0,6
kiera,1,0,5
diane,1,0,5
mable,1,0,5
alvati,1,0,6
ursula,1,0,6
elaine,1,0,6
yvonne,1,0,6
jenieka,1,0,7
keturah,1,0,7
metika,1,0,6
shamiekka,1,0,9
wilhemi,1,0,7
kwanzara,1,0,8
jaime,1,0,5
femesha,1,0,7
marsha,1,0,6
shal,1,0,4
tenisha,1,0,7
adrien,1,0,6
daria,1,0,5
shadesia,1,0,8
latoria,1,0,7
phyllis,1,0,7
ukenia,1,0,6
vanita,1,0,6
jennyse,1,0,7
francietta,1,0,10
keira,1,0,5
shanta,1,0,6
jamisha,1,0,7
iris,1,0,4
babetta,1,0,7
rekenda,1,0,7
slynithia,1,0,9
santa,1,0,5
bobby,1,0,5
stacy,1,0,5
alex,1,0,4
fredkedra,1,0,9
jamie,1,0,5
rachel,1,0,6
shakevia,1,0,8
tanika,1,0,6
deanne,1,0,6
shebeyonne,1,0,10
loveria,1,0,7
virginia,1,0,8
laquiata,1,0,8
zykira,1,0,6
tanesha,1,0,7
shakeya,1,0,7
jasmine,1,0,7
dyw,1,0,3
lekeshia,1,0,8
dean,1,0,4
barbara,1,0,7
anquette,1,0,8
bonnie,1,0,6
emily,1,0,5
alltawan,1,0,8
starce,1,0,6
kiairra,1,0,7
dawn,1,0,4
vonzay,1,0,6
windy,1,0,5
sharday,1,0,7
chiquita,1,0,8
angel,1,0,5
quachetta,1,0,9
jalinqua,1,0,8
derlyn,1,0,6
keyuan,1,0,6
kaleigh,1,0,7
eloise,1,0,6
norgiea,1,0,7
celese,1,0,6
irene,1,0,5
nichole,1,0,7
desha,1,0,5
myrlaine,1,0,8
odessa,1,0,6
shannon,1,0,7
lakita,1,0,6
tricia,1,0,6
lillie,1,0,6
thasa,1,0,5
devanette,1,0,9
chenika,1,0,7
lakella,1,0,7
marilyn,1,0,7
marion,1,0,6
odette,1,0,6
sheila,1,0,6
thea,1,0,4
tonja,1,0,5
vonice,1,0,6
kiara,1,0,5
queneshia,1,0,9
tasara,1,0,6
conchetia,1,0,9
keshara,1,0,7
latisha,1,0,7
tika,1,0,4
theresa,1,0,7
vikki,1,0,5
tanya,1,0,5
dashan,1,0,6
bijan,1,0,5
virgie,1,0,6
zella,1,0,5
carol,1,0,5
breyan,1,0,6
caroline,1,0,8
felisa,1,0,6
likita,1,0,6
nora,1,0,4
shasha,1,0,6
sydella,1,0,7
tamesha,1,0,7
tonie,1,0,5
tressie,1,0,7
ellisha,1,0,7
bria,1,0,4
ivey,1,0,4
lacoya,1,0,6
lakesha,1,0,7
lashawndra,1,0,10
mary jean,1,0,9
tashee,1,0,6
willie,1,0,6
ciera,1,0,5
elizabeth,1,0,9
krystal,1,0,7
jameisha,1,0,8
samantha,1,0,8
shemira,1,0,7
