name,gender,race,length,fl_is_v,ll_is_v,first_2,last_2,first_3,last_3
kabir,0,3,5,0,0,ka,ir,kab,bir
sarvesh,0,3,7,0,0,sa,sh,sar,esh
rakesh sarkar,0,3,13,0,0,ra,ar,rak,kar
akash gupta,0,3,11,1,1,ak,ta,aka,pta
pintu thakur,0,3,12,0,0,pi,ur,pin,kur
vivek,0,3,5,0,0,vi,ek,viv,vek
mohd khairul,0,3,12,0,0,mo,ul,moh,rul
farmaan khan,0,3,12,0,0,fa,an,far,han
vansu dev,0,3,9,0,0,va,ev,van,dev
shyam kumar,0,3,11,0,0,sh,ar,shy,mar
shafibul,0,3,8,0,0,sh,ul,sha,bul
lalit kathuriya,0,3,15,0,1,la,ya,lal,iya
aamir hussain,0,3,13,1,0,aa,in,aam,ain
kamal jit singh,0,3,15,0,0,ka,gh,kam,ngh
shiv kumar,0,3,10,0,0,sh,ar,shi,mar
mayank chaudhary,0,3,16,0,0,ma,ry,may,ary
som dutt,0,3,8,0,0,so,tt,som,utt
bablu regar,0,3,11,0,0,ba,ar,bab,gar
rajkumar,0,3,8,0,0,ra,ar,raj,mar
mubarik,0,3,7,0,0,mu,ik,mub,rik
niraj,0,3,5,0,0,ni,aj,nir,raj
sarbjeet,0,3,8,0,0,sa,et,sar,eet
axat,0,3,4,1,0,ax,at,axa,xat
anubhav shrivastab,0,3,18,1,0,an,ab,anu,tab
akkash,0,3,6,1,0,ak,sh,akk,ash
himanshu,0,3,8,0,1,hi,hu,him,shu
harsh dagar,0,3,11,0,0,ha,ar,har,gar
anil kumar,0,3,10,1,0,an,ar,ani,mar
vijay virmani,0,3,13,0,1,vi,ni,vij,ani
vivek auhari,0,3,12,0,1,vi,ri,viv,ari
sachin,0,3,6,0,0,sa,in,sac,hin
subhash,0,3,7,0,0,su,sh,sub,ash
bhupender,0,3,9,0,0,bh,er,bhu,der
raghun,0,3,6,0,0,ra,un,rag,hun
ajay kumar,0,3,10,1,0,aj,ar,aja,mar
yognder,0,3,7,0,0,yo,er,yog,der
arun,0,3,4,1,0,ar,un,aru,run
vikas,0,3,5,0,0,vi,as,vik,kas
vinod,0,3,5,0,0,vi,od,vin,nod
salman,0,3,6,0,0,sa,an,sal,man
mohan kumar,0,3,11,0,0,mo,ar,moh,mar
imamudeen,0,3,9,1,0,im,en,ima,een
tarjan,0,3,6,0,0,ta,an,tar,jan
murari,0,3,6,0,1,mu,ri,mur,ari
ramvilash,0,3,9,0,0,ra,sh,ram,ash
jagdish,0,3,7,0,0,ja,sh,jag,ish
vishal,0,3,6,0,0,vi,al,vis,hal
mohd shahid,0,3,11,0,0,mo,id,moh,hid
kuldeep,0,3,7,0,0,ku,ep,kul,eep
talim,0,3,5,0,0,ta,im,tal,lim
nku prasad,0,3,10,0,0,nk,ad,nku,sad
bhola sarkar,0,3,12,0,0,bh,ar,bho,kar
balraj,0,3,6,0,0,ba,aj,bal,raj
ravindra kumar,0,3,14,0,0,ra,ar,rav,mar
rohit kumar,0,3,11,0,0,ro,ar,roh,mar
uttam kumar,0,3,11,1,0,ut,ar,utt,mar
babalu sen,0,3,10,0,0,ba,en,bab,sen
rustam shah,0,3,11,0,0,ru,ah,rus,hah
sukhdev,0,3,7,0,0,su,ev,suk,dev
vikjay kumar,0,3,12,0,0,vi,ar,vik,mar
dolly,0,3,5,0,0,do,ly,dol,lly
gopal sharma,0,3,12,0,1,go,ma,gop,rma
beeru,0,3,5,0,1,be,ru,bee,eru
vipin,0,3,5,0,0,vi,in,vip,pin
manish garg,0,3,11,0,0,ma,rg,man,arg
guddu,0,3,5,0,1,gu,du,gud,ddu
jatin,0,3,5,0,0,ja,in,jat,tin
amit kumar,0,3,10,1,0,am,ar,ami,mar
shadab,0,3,6,0,0,sh,ab,sha,dab
rakesh,0,3,6,0,0,ra,sh,rak,esh
abhishek,0,3,8,1,0,ab,ek,abh,hek
gulfam,0,3,6,0,0,gu,am,gul,fam
phoolwati,0,3,9,0,1,ph,ti,pho,ati
mohit maan,0,3,10,0,0,mo,an,moh,aan
veer bhan singh,0,3,15,0,0,ve,gh,vee,ngh
dinesh kumar,0,3,12,0,0,di,ar,din,mar
amarjeet,0,3,8,1,0,am,et,ama,eet
satyadev,0,3,8,0,0,sa,ev,sat,dev
mohd mukhtaar,0,3,13,0,0,mo,ar,moh,aar
rishi,0,3,5,0,1,ri,hi,ris,shi
esrail khan,0,3,11,1,0,es,an,esr,han
suresh kumar,0,3,12,0,0,su,ar,sur,mar
pankaj,0,3,6,0,0,pa,aj,pan,kaj
ajay rayan,0,3,10,1,0,aj,an,aja,yan
mohit,0,3,5,0,0,mo,it,moh,hit
