name,gender,race,length,fl_is_v,ll_is_v,first_2,last_2,first_3,last_3
marcia,1,2,6,0,1,ma,ia,mar,cia
meghan,1,2,6,0,0,me,an,meg,han
colleen,1,2,7,0,0,co,en,col,een
luisa,1,2,5,0,1,lu,sa,lui,isa
cesely,1,2,6,0,0,ce,ly,ces,ely
siomarily,1,2,9,0,0,si,ly,sio,ily
jackeline,1,2,9,0,1,ja,ne,jac,ine
alai,1,2,4,1,1,al,ai,ala,lai
dorca,1,2,5,0,1,do,ca,dor,rca
barbara,1,2,7,0,1,ba,ra,bar,ara
gidget,1,2,6,0,0,gi,et,gid,get
jacqueline,1,2,10,0,1,ja,ne,jac,ine
rhiannon,1,2,8,0,0,rh,on,rhi,non
jerrie,1,2,6,0,1,je,ie,jer,rie
jessica,1,2,7,0,1,je,ca,jes,ica
marian,1,2,6,0,0,ma,an,mar,ian
marla,1,2,5,0,1,ma,la,mar,rla
marylee,1,2,7,0,1,ma,ee,mar,lee
rachelle,1,2,8,0,1,ra,le,rac,lle
raquel,1,2,6,0,0,ra,el,raq,uel
rhonda,1,2,6,0,1,rh,da,rho,nda
susan,1,2,5,0,0,su,an,sus,san
wendy,1,2,5,0,0,we,dy,wen,ndy
kahealani,1,2,9,0,1,ka,ni,kah,ani
lore,1,2,4,0,1,lo,re,lor,ore
emerald,1,2,7,1,0,em,ld,eme,ald
sonja,1,2,5,0,1,so,ja,son,nja
toni,1,2,4,0,1,to,ni,ton,oni
donlee,1,2,6,0,1,do,ee,don,lee
gladys,1,2,6,0,0,gl,ys,gla,dys
jamila,1,2,6,0,1,ja,la,jam,ila
lauren,1,2,6,0,0,la,en,lau,ren
pamela,1,2,6,0,1,pa,la,pam,ela
shau,1,2,4,0,1,sh,au,sha,hau
karen,1,2,5,0,0,ka,en,kar,ren
tammie,1,2,6,0,1,ta,ie,tam,mie
dian,1,2,4,0,0,di,an,dia,ian
kristee,1,2,7,0,1,kr,ee,kri,tee
janet,1,2,5,0,0,ja,et,jan,net
april,1,2,5,1,0,ap,il,apr,ril
stacy,1,2,5,0,0,st,cy,sta,acy
krystle,1,2,7,0,1,kr,le,kry,tle
sharon,1,2,6,0,0,sh,on,sha,ron
amy,1,2,3,1,0,am,my,amy,amy
beverly,1,2,7,0,0,be,ly,bev,rly
cheyenne,1,2,8,0,1,ch,ne,che,nne
destiny,1,2,7,0,0,de,ny,des,iny
kathy,1,2,5,0,0,ka,hy,kat,thy
monique,1,2,7,0,1,mo,ue,mon,que
ruby,1,2,4,0,0,ru,by,rub,uby
alex,1,2,4,1,0,al,ex,ale,lex
marsha,1,2,6,0,1,ma,ha,mar,sha
venus,1,2,5,0,0,ve,us,ven,nus
amie,1,2,4,1,1,am,ie,ami,mie
charlene,1,2,8,0,1,ch,ne,cha,ene
dorothy,1,2,7,0,0,do,hy,dor,thy
shirley,1,2,7,0,0,sh,ey,shi,ley
monica,1,2,6,0,1,mo,ca,mon,ica
kaylee,1,2,6,0,1,ka,ee,kay,lee
julie,1,2,5,0,1,ju,ie,jul,lie
tosha,1,2,5,0,1,to,ha,tos,sha
margy,1,2,5,0,0,ma,gy,mar,rgy
hayley,1,2,6,0,0,ha,ey,hay,ley
darla,1,2,5,0,1,da,la,dar,rla
heather,1,2,7,0,0,he,er,hea,her
kristi,1,2,6,0,1,kr,ti,kri,sti
sheri,1,2,5,0,1,sh,ri,she,eri
theresa,1,2,7,0,1,th,sa,the,esa
holli,1,2,5,0,1,ho,li,hol,lli
christi,1,2,7,0,1,ch,ti,chr,sti
erin,1,2,4,1,0,er,in,eri,rin
jamie,1,2,5,0,1,ja,ie,jam,mie
cace,1,2,4,0,1,ca,ce,cac,ace
chastity,1,2,8,0,0,ch,ty,cha,ity
melinda,1,2,7,0,1,me,da,mel,nda
carol,1,2,5,0,0,ca,ol,car,rol
martha,1,2,6,0,1,ma,ha,mar,tha
farrah,1,2,6,0,0,fa,ah,far,rah
lauralee,1,2,8,0,1,la,ee,lau,lee
kristine,1,2,8,0,1,kr,ne,kri,ine
santa,1,2,5,0,1,sa,ta,san,nta
kellie,1,2,6,0,1,ke,ie,kel,lie
tabitha,1,2,7,0,1,ta,ha,tab,tha
nioshka,1,2,7,0,1,ni,ka,nio,hka
annette,1,2,7,1,1,an,te,ann,tte
abigail,1,2,7,1,0,ab,il,abi,ail
alexa,1,2,5,1,1,al,xa,ale,exa
cindy,1,2,5,0,0,ci,dy,cin,ndy
patsy,1,2,5,0,0,pa,sy,pat,tsy
tristan,1,2,7,0,0,tr,an,tri,tan
janice,1,2,6,0,1,ja,ce,jan,ice
dean,1,2,4,0,0,de,an,dea,ean
christie,1,2,8,0,1,ch,ie,chr,tie
sharese,1,2,7,0,1,sh,se,sha,ese
graciela,1,2,8,0,1,gr,la,gra,ela
bridget,1,2,7,0,0,br,et,bri,get
windy,1,2,5,0,0,wi,dy,win,ndy
belinda,1,2,7,0,1,be,da,bel,nda
lacey,1,2,5,0,0,la,ey,lac,cey
shelley,1,2,7,0,0,sh,ey,she,ley
