name,gender,race,length,fl_is_v,ll_is_v,first_2,last_2,first_3,last_3
sonchaim,1,1,8,0,0,so,im,son,aim
dessie,1,1,6,0,1,de,ie,des,sie
isable,1,1,6,1,1,is,le,isa,ble
leticia,1,1,7,0,1,le,ia,let,cia
jobitza,1,1,7,0,1,jo,za,job,tza
diadenis,1,1,8,0,0,di,is,dia,nis
yileymi,1,1,7,0,1,yi,mi,yil,ymi
josselyn,1,1,8,0,0,jo,yn,jos,lyn
yvan,1,1,4,0,0,yv,an,yva,van
abiezer,1,1,7,1,0,ab,er,abi,zer
rosa,1,1,4,0,1,ro,sa,ros,osa
emily,1,1,5,1,0,em,ly,emi,ily
eulonia,1,1,7,1,1,eu,ia,eul,nia
marisol,1,1,7,0,0,ma,ol,mar,sol
ivan,1,1,4,1,0,iv,an,iva,van
georgi,1,1,6,0,1,ge,gi,geo,rgi
ondi,1,1,4,1,1,on,di,ond,ndi
yesenia,1,1,7,0,1,ye,ia,yes,nia
judy,1,1,4,0,0,ju,dy,jud,udy
sheila,1,1,6,0,1,sh,la,she,ila
sally,1,1,5,0,0,sa,ly,sal,lly
gabriella,1,1,9,0,1,ga,la,gab,lla
courtney,1,1,8,0,0,co,ey,cou,ney
jasmine,1,1,7,0,1,ja,ne,jas,ine
angeli,1,1,6,1,1,an,li,ang,eli
norma,1,1,5,0,1,no,ma,nor,rma
geraldil,1,1,8,0,0,ge,il,ger,dil
jazmin,1,1,6,0,0,ja,in,jaz,min
eleazar,1,1,7,1,0,el,ar,ele,zar
takemi,1,1,6,0,1,ta,mi,tak,emi
mirssa,1,1,6,0,1,mi,sa,mir,ssa
vera,1,1,4,0,1,ve,ra,ver,era
delfida,1,1,7,0,1,de,da,del,ida
betrice,1,1,7,0,1,be,ce,bet,ice
lisa,1,1,4,0,1,li,sa,lis,isa
denise,1,1,6,0,1,de,se,den,ise
cynthia,1,1,7,0,1,cy,ia,cyn,hia
delia,1,1,5,0,1,de,ia,del,lia
eulalia,1,1,7,1,1,eu,ia,eul,lia
monique,1,1,7,0,1,mo,ue,mon,que
lynette,1,1,7,0,1,ly,te,lyn,tte
dora,1,1,4,0,1,do,ra,dor,ora
manuella,1,1,8,0,1,ma,la,man,lla
