name,gender,race,length,fl_is_v,ll_is_v,first_2,last_2,first_3,last_3
paul,0,2,4,0,0,pa,ul,pau,aul
phillip,0,2,7,0,0,ph,ip,phi,lip
quentin,0,2,7,0,0,qu,in,que,tin
richard,0,2,7,0,0,ri,rd,ric,ard
roderick,0,2,8,0,0,ro,ck,rod,ick
ronnie,0,2,6,0,1,ro,ie,ron,nie
shane,0,2,5,0,1,sh,ne,sha,ane
thomas,0,2,6,0,0,th,as,tho,mas
timothy,0,2,7,0,0,ti,hy,tim,thy
todd,0,2,4,0,0,to,dd,tod,odd
tracy,0,2,5,0,0,tr,cy,tra,acy
vonsher,0,2,7,0,0,vo,er,von,her
alain,0,2,5,1,0,al,in,ala,ain
gordon,0,2,6,0,0,go,on,gor,don
mitchell,0,2,8,0,0,mi,ll,mit,ell
shawn,0,2,5,0,0,sh,wn,sha,awn
allen,0,2,5,1,0,al,en,all,len
aaron,0,2,5,1,0,aa,on,aar,ron
bobby,0,2,5,0,0,bo,by,bob,bby
franklin,0,2,8,0,0,fr,in,fra,lin
herbert,0,2,7,0,0,he,rt,her,ert
lawton,0,2,6,0,0,la,on,law,ton
phillip  iii,0,2,12,0,1,ph,ii,phi,iii
roger,0,2,5,0,0,ro,er,rog,ger
travis,0,2,6,0,0,tr,is,tra,vis
wayne,0,2,5,0,1,wa,ne,way,yne
jarod,0,2,5,0,0,ja,od,jar,rod
wilmer,0,2,6,0,0,wi,er,wil,mer
rodney,0,2,6,0,0,ro,ey,rod,ney
terry,0,2,5,0,0,te,ry,ter,rry
alec,0,2,4,1,0,al,ec,ale,lec
jurel,0,2,5,0,0,ju,el,jur,rel
aziz,0,2,4,1,0,az,iz,azi,ziz
morteza,0,2,7,0,1,mo,za,mor,eza
barry,0,2,5,0,0,ba,ry,bar,rry
troy,0,2,4,0,0,tr,oy,tro,roy
adrian,0,2,6,1,0,ad,an,adr,ian
eddie,0,2,5,1,1,ed,ie,edd,die
vincent,0,2,7,0,0,vi,nt,vin,ent
jovan,0,2,5,0,0,jo,an,jov,van
hector,0,2,6,0,0,he,or,hec,tor
hayron,0,2,6,0,0,ha,on,hay,ron
lazaro,0,2,6,0,1,la,ro,laz,aro
domingo,0,2,7,0,1,do,go,dom,ngo
elvin,0,2,5,1,0,el,in,elv,vin
ephraim,0,2,7,1,0,ep,im,eph,aim
frankie,0,2,7,0,1,fr,ie,fra,kie
gerardo,0,2,7,0,1,ge,do,ger,rdo
javier,0,2,6,0,0,ja,er,jav,ier
laavi,0,2,5,0,1,la,vi,laa,avi
nelson,0,2,6,0,0,ne,on,nel,son
roberto,0,2,7,0,1,ro,to,rob,rto
alej,0,2,4,1,0,al,ej,ale,lej
reynyer,0,2,7,0,0,re,er,rey,yer
felix,0,2,5,0,0,fe,ix,fel,lix
erin,0,2,4,1,0,er,in,eri,rin
fern,0,2,4,0,0,fe,rn,fer,ern
martin,0,2,6,0,0,ma,in,mar,tin
cameron,0,2,7,0,0,ca,on,cam,ron
lynn,0,2,4,0,0,ly,nn,lyn,ynn
qib,0,2,3,0,0,qi,ib,qib,qib
derick,0,2,6,0,0,de,ck,der,ick
lee,0,2,3,0,1,le,ee,lee,lee
mathew,0,2,6,0,0,ma,ew,mat,hew
royal,0,2,5,0,0,ro,al,roy,yal
saul,0,2,4,0,0,sa,ul,sau,aul
riad,0,2,4,0,0,ri,ad,ria,iad
claude,0,2,6,0,1,cl,de,cla,ude
darin,0,2,5,0,0,da,in,dar,rin
micah,0,2,5,0,0,mi,ah,mic,cah
jody,0,2,4,0,0,jo,dy,jod,ody
monzir,0,2,6,0,0,mo,ir,mon,zir
said,0,2,4,0,0,sa,id,sai,aid
etem,0,2,4,1,0,et,em,ete,tem
emanuel,0,2,7,1,0,em,el,ema,uel
mohmmud,0,2,7,0,0,mo,ud,moh,mud
eduardo,0,2,7,1,1,ed,do,edu,rdo
nikko,0,2,5,0,1,ni,ko,nik,kko
rodelfo,0,2,7,0,1,ro,fo,rod,lfo
olivier,0,2,7,1,0,ol,er,oli,ier
keith,0,2,5,0,0,ke,th,kei,ith
shuban,0,2,6,0,0,sh,an,shu,ban
aquila,0,2,6,1,1,aq,la,aqu,ila
bryon,0,2,5,0,0,br,on,bry,yon
monty,0,2,5,0,0,mo,ty,mon,nty
blake,0,2,5,0,1,bl,ke,bla,ake
julius,0,2,6,0,0,ju,us,jul,ius
toby,0,2,4,0,0,to,by,tob,oby
wade,0,2,4,0,1,wa,de,wad,ade
wendell,0,2,7,0,0,we,ll,wen,ell
afner,0,2,5,1,0,af,er,afn,ner
