name,gender,race,length
casey,1,2,5
jaymie,1,2,6
leta,1,2,4
carla,1,2,5
tabaitha,1,2,8
victoria,1,2,8
suprea,1,2,6
kristie,1,2,7
roxanne,1,2,7
jeannine,1,2,8
tabatha,1,2,7
stefanie,1,2,8
ivanka,1,2,6
zaida,1,2,5
kim,1,2,3
earnestine,1,2,10
katherine,1,2,9
julia,1,2,5
janepsy,1,2,7
ida,1,2,3
chelsey,1,2,7
kayleigh,1,2,8
alisha,1,2,6
aimee,1,2,5
wyno,1,2,4
maggie,1,2,6
jessie,1,2,6
bennie,1,2,6
betsy,1,2,5
cory,1,2,4
eleanor,1,2,7
jhodi,1,2,5
talia,1,2,5
marion,1,2,6
holly,1,2,5
zorai,1,2,5
joan,1,2,4
silva,1,2,5
charla,1,2,6
alice,1,2,5
isis,1,2,4
jannifer,1,2,8
sivia,1,2,5
beth,1,2,4
rebekah,1,2,7
savanh,1,2,6
tamra,1,2,5
emilia,1,2,6
judith,1,2,6
sonia,1,2,5
evelyn,1,2,6
megan,1,2,5
sela,1,2,4
rhean,1,2,5
cas,1,2,3
georgan,1,2,7
regi,1,2,4
rachael,1,2,7
sherri,1,2,6
corryn,1,2,6
jay,1,2,3
eva,1,2,3
shan,1,2,4
sue,1,2,3
anita,1,2,5
jade,1,2,4
tamara,1,2,6
mallory,1,2,7
karalyn,1,2,7
cristi,1,2,6
alexis,1,2,6
stephany,1,2,8
teri,1,2,4
michell,1,2,7
amiee,1,2,5
alyssa,1,2,6
marissa,1,2,7
danette,1,2,7
ada,1,2,3
christy,1,2,7
judy,1,2,4
nilza,1,2,5
starla,1,2,6
iris,1,2,4
kylee,1,2,5
terri,1,2,5
araceli,1,2,7
meredith,1,2,8
june,1,2,4
daniella,1,2,8
nicky,1,2,5
magdale,1,2,7
terrie,1,2,6
coleen,1,2,6
jolean,1,2,6
courtney,1,2,8
janette,1,2,7
deidre,1,2,6
jaimie,1,2,6
omi,1,2,3
timilyn,1,2,7
rean,1,2,4
dianne,1,2,6
lee,1,2,3
jane,1,2,4
carole,1,2,6
riva,1,2,4
tia,1,2,3
gail,1,2,4
bridgette,1,2,9
hilary,1,2,6
angeli,1,2,6
whitney,1,2,7
brittiny,1,2,8
debi,1,2,4
stephani,1,2,8
kareen,1,2,6
mattie,1,2,6
antonya,1,2,7
clara,1,2,5
darya,1,2,5
olga,1,2,4
tami,1,2,4
nikki,1,2,5
omayra,1,2,6
bailie,1,2,6
devora,1,2,6
jaclyn,1,2,6
tresha,1,2,6
karrie,1,2,6
adrian,1,2,6
crista,1,2,6
francoise,1,2,9
lanee,1,2,5
nitza,1,2,5
rosa,1,2,4
tonia,1,2,5
stefany,1,2,7
cecilia,1,2,7
cammie,1,2,6
sonya,1,2,5
chelsea,1,2,7
maya,1,2,4
rosemarie,1,2,9
elisa,1,2,5
heidi,1,2,5
blakelie,1,2,8
brian,1,2,5
cameron,1,2,7
yivette,1,2,7
teressa,1,2,7
cameo,1,2,5
sherrie,1,2,7
audrey,1,2,6
fawn,1,2,4
hollie,1,2,6
rosan,1,2,5
carisa,1,2,6
barabara,1,2,8
darlene,1,2,7
dedi,1,2,4
ashely,1,2,6
sophia,1,2,6
faith,1,2,5
joy,1,2,3
pale,1,2,4
jeanette,1,2,8
deidra,1,2,6
frances,1,2,7
jen,1,2,3
kaysie,1,2,6
brianne,1,2,7
jessika,1,2,7
yanet,1,2,5
joann,1,2,5
sherran,1,2,7
cheri,1,2,5
traci,1,2,5
cassie,1,2,6
berdette,1,2,8
jodi,1,2,4
brooke,1,2,6
jacquan,1,2,7
shee,1,2,4
pauline,1,2,7
lia,1,2,3
sirine,1,2,6
ral,1,2,3
jolene,1,2,6
marlene,1,2,7
jean,1,2,4
joi,1,2,3
kasey,1,2,5
sherell,1,2,7
geneva,1,2,6
charlie,1,2,7
constanti,1,2,9
flavia,1,2,6
francesca,1,2,9
lydia,1,2,5
angel,1,2,5
darcel,1,2,6
janie,1,2,5
rose,1,2,4
stacia,1,2,6
alisa,1,2,5
jesse,1,2,5
emilee,1,2,6
kristen,1,2,7
dea,1,2,3
jaime,1,2,5
charity,1,2,7
nellie,1,2,6
cari,1,2,4
soldonia,1,2,8
kelley,1,2,6
yvette,1,2,6
neila,1,2,5
dalia,1,2,5
lindsey,1,2,7
phoebe,1,2,6
britani,1,2,7
mar,1,2,3
treasa,1,2,6
alea,1,2,4
alysia,1,2,6
memphis,1,2,7
chelci,1,2,6
jerri,1,2,5
tibitha,1,2,7
della,1,2,5
moka,1,2,4
kala,1,2,4
celeste,1,2,7
charmaine,1,2,9
jazmin,1,2,6
staci,1,2,5
jeannette,1,2,9
odalis,1,2,6
skyler,1,2,6
jeimis,1,2,6
suzi,1,2,4
hele,1,2,4
daphne,1,2,6
jessy,1,2,5
ela,1,2,3
sha,1,2,3
ramo,1,2,4
isabel,1,2,6
trudy,1,2,5
yazmin,1,2,6
yoan,1,2,4
kaley,1,2,5
irene,1,2,5
cherryl,1,2,7
margarita,1,2,9
keleli,1,2,6
koryn,1,2,5
stacie,1,2,6
katelyn,1,2,7
brynn,1,2,5
gloria,1,2,6
yol,1,2,3
tasha,1,2,5
doris,1,2,5
alecia,1,2,6
summer,1,2,6
daniela,1,2,7
giovan,1,2,6
laurie,1,2,6
trisha,1,2,6
