name,gender,race
hari ram,0,3
manoj kumar,0,3
parash das,0,3
mehraj,0,3
chetan,0,3
bhanwar lal,0,3
sanavvar,0,3
mustaq,0,3
ramkaran verma,0,3
mukhtyar hussain,0,3
vakil,0,3
bilal malik,0,3
radheshyam sen,0,3
mukesh,0,3
sunny,0,3
jitender rajak,0,3
brahamprakash so meer singh,0,3
raju singh,0,3
sobit saini,0,3
inder dutt,0,3
shakir,0,3
haseen ahmed,0,3
kiran,0,3
gulam rashul,0,3
rajan,0,3
ayush,0,3
sehboob,0,3
sanjay kumar so,0,3
manish,0,3
amit kumar yadav,0,3
divaraj,0,3
kamlesh,0,3
rajiv bagoriya,0,3
abhinav chaudhary,0,3
devender singh so shrinath ro kh. no.  utsa,0,3
azruddin,0,3
sanjay kumar  pappu,0,3
mushir ahmed,0,3
vibhuti shyamal,0,3
inderjeet,0,3
golu,0,3
lokesh,0,3
neeraj kandari,0,3
mukul verma,0,3
rijakpal,0,3
jai kishan,0,3
munna lal jain,0,3
jai prakash kashyap,0,3
shishram,0,3
parveen aggarwal,0,3
pramod paswan,0,3
ajit,0,3
deelip,0,3
aaftaab husan,0,3
monu,0,3
ramesh,0,3
sawan gupta,0,3
munna lal,0,3
saurabh,0,3
sarvesh kumar pandey,0,3
avdhesh,0,3
sohnal kumar singh,0,3
najar hussan,0,3
raman  rancho,0,3
lavtar singh,0,3
nanak chand,0,3
harprasad sahu,0,3
vikas kumar,0,3
ashsish kumar,0,3
rajesh singh,0,3
ashu,0,3
manjeet,0,3
jaipal,0,3
jalil ansari,0,3
deepak verma,0,3
kasim,0,3
monu kumar,0,3
manish kumar saket,0,3
udham,0,3
saurabh so,0,3
ravinder,0,3
narayan gadri,0,3
lakshman nath,0,3
sachin kumar,0,3
shahid,0,3
munna  ravi jaiswal,0,3
ishtkar,0,3
harish chand,0,3
puneet jain,0,3
rashab,0,3
amit kumar shukla,0,3
praful naag,0,3
tarachand  pappu,0,3
deepak rana,0,3
puran singh rastogi,0,3
narender,0,3
lal babu prasad,0,3
ankush,0,3
lal chand,0,3
pankaj,0,3
kiran pal,0,3
ranveer singh,0,3
anwar,0,3
sadab urf golu,0,3
gorav,0,3
raj kumar  raju,0,3
laxmikant kaka,0,3
narayan parsad bhushal,0,3
abbas,0,3
avinash,0,3
ravish,0,3
hukum chand,0,3
pappu  mahender singh,0,3
akash tomer,0,3
mahesh chand tiwari,0,3
rekhai,0,3
gajender kumar,0,3
vashudev,0,3
bhanwar singh,0,3
surender sain,0,3
akshay kumar,0,3
goldy,0,3
satyender  kalu,0,3
devender,0,3
veer,0,3
ankush  shera,0,3
mohd. amir,0,3
babloo,0,3
bhavesh dass,0,3
gourav,0,3
guddu rai,0,3
yogesh rawat,0,3
amarapal,0,3
rajesh agarwal,0,3
tara singh rawat,0,3
momin,0,3
parnav kumar,0,3
parminder,0,3
mustafa,0,3
ajay haldar,0,3
dharmender,0,3
gaurav sethi,0,3
suresh,0,3
parth madan,0,3
abhimanyu,0,3
pawan kumar  sonu,0,3
rohan,0,3
raju garg,0,3
samir mishra,0,3
ram dayal,0,3
jagdish chand,0,3
kanheya,0,3
mushrraf,0,3
prem,0,3
pardeep kumar,0,3
nithyanandham,0,3
deepak goyal,0,3
sunil ladkani,0,3
gopal,0,3
mahavir,0,3
indra sain,0,3
soni,0,3
arun kumar,0,3
ashok sharma,0,3
veer singh,0,3
aman dahiya,0,3
laxmi narayan,0,3
vikram dubey,0,3
rima,0,3
ramjan khan,0,3
sunder,0,3
omparkash,0,3
alok tiwari,0,3
vude bhadur,0,3
prem singh bidla,0,3
chetanya swaroop,0,3
pinkoo  guddu,0,3
shardanand,0,3
henkhochon haokip,0,3
gaurav shankar,0,3
shsi kant,0,3
md. tavrej,0,3
amrudin,0,3
shahnawaz,0,3
brij raj,0,3
