name,gender,race,length,fl_is_v,ll_is_v,first_2,last_2,first_3,last_3
sherard,0,0,7,0,0,sh,rd,she,ard
stanley,0,0,7,0,0,st,ey,sta,ley
stephen,0,0,7,0,0,st,en,ste,hen
tavaris,0,0,7,0,0,ta,is,tav,ris
terry,0,0,5,0,0,te,ry,ter,rry
timothy,0,0,7,0,0,ti,hy,tim,thy
tirell,0,0,6,0,0,ti,ll,tir,ell
troy,0,0,4,0,0,tr,oy,tro,roy
warren,0,0,6,0,0,wa,en,war,ren
zabrian,0,0,7,0,0,za,an,zab,ian
sylvester,0,0,9,0,0,sy,er,syl,ter
darrick,0,0,7,0,0,da,ck,dar,ick
alvin,0,0,5,1,0,al,in,alv,vin
roosevelt,0,0,9,0,0,ro,lt,roo,elt
dustin,0,0,6,0,0,du,in,dus,tin
elione,0,0,6,1,1,el,ne,eli,one
maurice,0,0,7,0,1,ma,ce,mau,ice
terrence,0,0,8,0,1,te,ce,ter,nce
tifphan,0,0,7,0,0,ti,an,tif,han
torrance,0,0,8,0,1,to,ce,tor,nce
alex,0,0,4,1,0,al,ex,ale,lex
brisbon,0,0,7,0,0,br,on,bri,bon
chester,0,0,7,0,0,ch,er,che,ter
cshawn,0,0,6,0,0,cs,wn,csh,awn
darrio,0,0,6,0,1,da,io,dar,rio
george,0,0,6,0,1,ge,ge,geo,rge
jeremy,0,0,6,0,0,je,my,jer,emy
marqui,0,0,6,0,1,ma,ui,mar,qui
thon,0,0,4,0,0,th,on,tho,hon
patrick,0,0,7,0,0,pa,ck,pat,ick
rodney,0,0,6,0,0,ro,ey,rod,ney
tadarius,0,0,8,0,0,ta,us,tad,ius
tarron,0,0,6,0,0,ta,on,tar,ron
titus,0,0,5,0,0,ti,us,tit,tus
tommy,0,0,5,0,0,to,my,tom,mmy
trevor,0,0,6,0,0,tr,or,tre,vor
willie,0,0,6,0,1,wi,ie,wil,lie
kwesi,0,0,5,0,1,kw,si,kwe,esi
olufemi,0,0,7,1,1,ol,mi,olu,emi
emmanuel,0,0,8,1,0,em,el,emm,uel
latron,0,0,6,0,0,la,on,lat,ron
marlon,0,0,6,0,0,ma,on,mar,lon
alfonzo,0,0,7,1,1,al,zo,alf,nzo
curtis,0,0,6,0,0,cu,is,cur,tis
darrell,0,0,7,0,0,da,ll,dar,ell
dureka,0,0,6,0,1,du,ka,dur,eka
gearlton,0,0,8,0,0,ge,on,gea,ton
leroy,0,0,5,0,0,le,oy,ler,roy
thaniel,0,0,7,0,0,th,el,tha,iel
ralph,0,0,5,0,0,ra,ph,ral,lph
frazier,0,0,7,0,0,fr,er,fra,ier
adrian,0,0,6,1,0,ad,an,adr,ian
clifton,0,0,7,0,0,cl,on,cli,ton
sony,0,0,4,0,0,so,ny,son,ony
terrell,0,0,7,0,0,te,ll,ter,ell
gordon,0,0,6,0,0,go,on,gor,don
jean,0,0,4,0,0,je,an,jea,ean
jordan,0,0,6,0,0,jo,an,jor,dan
rafael,0,0,6,0,0,ra,el,raf,ael
cristian,0,0,8,0,0,cr,an,cri,ian
kingsley,0,0,8,0,0,ki,ey,kin,ley
luqman,0,0,6,0,0,lu,an,luq,man
abouslam,0,0,8,1,0,ab,am,abo,lam
talih,0,0,5,0,0,ta,ih,tal,lih
samuel,0,0,6,0,0,sa,el,sam,uel
conray,0,0,6,0,0,co,ay,con,ray
gaston,0,0,6,0,0,ga,on,gas,ton
marcus,0,0,6,0,0,ma,us,mar,cus
quavis,0,0,6,0,0,qu,is,qua,vis
emanzar,0,0,7,1,0,em,ar,ema,zar
felton,0,0,6,0,0,fe,on,fel,ton
leo,0,0,3,0,1,le,eo,leo,leo
steve,0,0,5,0,1,st,ve,ste,eve
terence,0,0,7,0,1,te,ce,ter,nce
termaine,0,0,8,0,1,te,ne,ter,ine
franklin,0,0,8,0,0,fr,in,fra,lin
terrill,0,0,7,0,0,te,ll,ter,ill
anthony,0,0,7,1,0,an,ny,ant,ony
charles,0,0,7,0,0,ch,es,cha,les
adeyemi,0,0,7,1,1,ad,mi,ade,emi
ismail,0,0,6,1,0,is,il,ism,ail
bobby,0,0,5,0,0,bo,by,bob,bby
cornelius,0,0,9,0,0,co,us,cor,ius
arthur,0,0,6,1,0,ar,ur,art,hur
aundra,0,0,6,1,1,au,ra,aun,dra
corey,0,0,5,0,0,co,ey,cor,rey
dameon,0,0,6,0,0,da,on,dam,eon
demetrius,0,0,9,0,0,de,us,dem,ius
derek,0,0,5,0,0,de,ek,der,rek
desmar,0,0,6,0,0,de,ar,des,mar
jimmy,0,0,5,0,0,ji,my,jim,mmy
nicholas,0,0,8,0,0,ni,as,nic,las
ricky,0,0,5,0,0,ri,ky,ric,cky
tevaris,0,0,7,0,0,te,is,tev,ris
zachary,0,0,7,0,0,za,ry,zac,ary
wayne,0,0,5,0,1,wa,ne,way,yne
omar,0,0,4,1,0,om,ar,oma,mar
chroniques,0,0,10,0,0,ch,es,chr,ues
jabreale,0,0,8,0,1,ja,le,jab,ale
alfonza,0,0,7,1,1,al,za,alf,nza
aaron,0,0,5,1,0,aa,on,aar,ron
diamond,0,0,7,0,0,di,nd,dia,ond
emil,0,0,4,1,0,em,il,emi,mil
mark,0,0,4,0,0,ma,rk,mar,ark
malcolm iii,0,0,11,0,1,ma,ii,mal,iii
lecardo,0,0,7,0,1,le,do,lec,rdo
rickey,0,0,6,0,0,ri,ey,ric,key
terrance,0,0,8,0,1,te,ce,ter,nce
trevon,0,0,6,0,0,tr,on,tre,von
eve,0,0,3,1,1,ev,ve,eve,eve
jocelyn,0,0,7,0,0,jo,yn,joc,lyn
junior,0,0,6,0,0,ju,or,jun,ior
richie,0,0,6,0,1,ri,ie,ric,hie
fredner,0,0,7,0,0,fr,er,fre,ner
semil,0,0,5,0,0,se,il,sem,mil
olgens,0,0,6,1,0,ol,ns,olg,ens
luckner,0,0,7,0,0,lu,er,luc,ner
periclais,0,0,9,0,0,pe,is,per,ais
viceme,0,0,6,0,1,vi,me,vic,eme
fritz,0,0,5,0,0,fr,tz,fri,itz
romane,0,0,6,0,1,ro,ne,rom,ane
roger,0,0,5,0,0,ro,er,rog,ger
deutsch,0,0,7,0,0,de,ch,deu,sch
odley,0,0,5,1,0,od,ey,odl,ley
ashley,0,0,6,1,0,as,ey,ash,ley
irvin,0,0,5,1,0,ir,in,irv,vin
joe,0,0,3,0,1,jo,oe,joe,joe
marshall,0,0,8,0,0,ma,ll,mar,all
quincy,0,0,6,0,0,qu,cy,qui,ncy
simon,0,0,5,0,0,si,on,sim,mon
actrice,0,0,7,1,1,ac,ce,act,ice
jerald,0,0,6,0,0,je,ld,jer,ald
artis,0,0,5,1,0,ar,is,art,tis
benjamin,0,0,8,0,0,be,in,ben,min
cachet,0,0,6,0,0,ca,et,cac,het
cameron,0,0,7,0,0,ca,on,cam,ron
chay,0,0,4,0,0,ch,ay,cha,hay
claude,0,0,6,0,1,cl,de,cla,ude
corneluis,0,0,9,0,0,co,is,cor,uis
dadrian,0,0,7,0,0,da,an,dad,ian
daniel,0,0,6,0,0,da,el,dan,iel
daron,0,0,5,0,0,da,on,dar,ron
darrion,0,0,7,0,0,da,on,dar,ion
demitrius,0,0,9,0,0,de,us,dem,ius
destyn,0,0,6,0,0,de,yn,des,tyn
freddie,0,0,7,0,1,fr,ie,fre,die
howard,0,0,6,0,0,ho,rd,how,ard
jack,0,0,4,0,0,ja,ck,jac,ack
jah ran,0,0,7,0,0,ja,an,jah,ran
jerome,0,0,6,0,1,je,me,jer,ome
jesse,0,0,5,0,1,je,se,jes,sse
john  iii,0,0,9,0,1,jo,ii,joh,iii
johnnie,0,0,7,0,1,jo,ie,joh,nie
kelvin,0,0,6,0,0,ke,in,kel,vin
kervin,0,0,6,0,0,ke,in,ker,vin
lamar,0,0,5,0,0,la,ar,lam,mar
leshon,0,0,6,0,0,le,on,les,hon
levie,0,0,5,0,1,le,ie,lev,vie
marquis,0,0,7,0,0,ma,is,mar,uis
matthew,0,0,7,0,0,ma,ew,mat,hew
melvin,0,0,6,0,0,me,in,mel,vin
nemiah,0,0,6,0,0,ne,ah,nem,iah
peter,0,0,5,0,0,pe,er,pet,ter
shakim,0,0,6,0,0,sh,im,sha,kim
tamarius,0,0,8,0,0,ta,us,tam,ius
todd,0,0,4,0,0,to,dd,tod,odd
trahern,0,0,7,0,0,tr,rn,tra,ern
travis,0,0,6,0,0,tr,is,tra,vis
tyrohn,0,0,6,0,0,ty,hn,tyr,ohn
ulysses,0,0,7,1,0,ul,es,uly,ses
untarius,0,0,8,1,0,un,us,unt,ius
vernon,0,0,6,0,0,ve,on,ver,non
vincent,0,0,7,0,0,vi,nt,vin,ent
reco,0,0,4,0,1,re,co,rec,eco
carl,0,0,4,0,0,ca,rl,car,arl
jude,0,0,4,0,1,ju,de,jud,ude
robins,0,0,6,0,0,ro,ns,rob,ins
abdias,0,0,6,1,0,ab,as,abd,ias
geraldo,0,0,7,0,1,ge,do,ger,ldo
gesper,0,0,6,0,0,ge,er,ges,per
jefferson,0,0,9,0,0,je,on,jef,son
lesly,0,0,5,0,0,le,ly,les,sly
lubin,0,0,5,0,0,lu,in,lub,bin
lucien,0,0,6,0,0,lu,en,luc,ien
marvin,0,0,6,0,0,ma,in,mar,vin
reuben,0,0,6,0,0,re,en,reu,ben
serge,0,0,5,0,1,se,ge,ser,rge
wardson,0,0,7,0,0,wa,on,war,son
william,0,0,7,0,0,wi,am,wil,iam
cedrik,0,0,6,0,0,ce,ik,ced,rik
damond,0,0,6,0,0,da,nd,dam,ond
emmett,0,0,6,1,0,em,tt,emm,ett
learie,0,0,6,0,1,le,ie,lea,rie
makendy,0,0,7,0,0,ma,dy,mak,ndy
rashad,0,0,6,0,0,ra,ad,ras,had
kasim,0,0,5,0,0,ka,im,kas,sim
abdullah,0,0,8,1,0,ab,ah,abd,lah
zens,0,0,4,0,0,ze,ns,zen,ens
allahzar,0,0,8,1,0,al,ar,all,zar
rahim,0,0,5,0,0,ra,im,rah,him
johthan,0,0,7,0,0,jo,an,joh,han
gabriel,0,0,7,0,0,ga,el,gab,iel
adolphus,0,0,8,1,0,ad,us,ado,hus
ahmad,0,0,5,1,0,ah,ad,ahm,mad
ahmadd,0,0,6,1,0,ah,dd,ahm,add
akeem,0,0,5,1,0,ak,em,ake,eem
alfonso,0,0,7,1,1,al,so,alf,nso
alfred,0,0,6,1,0,al,ed,alf,red
antoine,0,0,7,1,1,an,ne,ant,ine
cedric,0,0,6,0,0,ce,ic,ced,ric
charlie,0,0,7,0,1,ch,ie,cha,lie
cirilo,0,0,6,0,1,ci,lo,cir,ilo
clarence,0,0,8,0,1,cl,ce,cla,nce
cordell,0,0,7,0,0,co,ll,cor,ell
daphedron,0,0,9,0,0,da,on,dap,ron
daryl,0,0,5,0,0,da,yl,dar,ryl
delvin,0,0,6,0,0,de,in,del,vin
demetris,0,0,8,0,0,de,is,dem,ris
derron,0,0,6,0,0,de,on,der,ron
devante,0,0,7,0,1,de,te,dev,nte
devaris,0,0,7,0,0,de,is,dev,ris
domonique,0,0,9,0,1,do,ue,dom,que
donnell,0,0,7,0,0,do,ll,don,ell
donovan,0,0,7,0,0,do,an,don,van
drakaar,0,0,7,0,0,dr,ar,dra,aar
edgar,0,0,5,1,0,ed,ar,edg,gar
erik,0,0,4,1,0,er,ik,eri,rik
fate,0,0,4,0,1,fa,te,fat,ate
gerrod,0,0,6,0,0,ge,od,ger,rod
hagun,0,0,5,0,0,ha,un,hag,gun
harry,0,0,5,0,0,ha,ry,har,rry
henry,0,0,5,0,0,he,ry,hen,nry
hyron,0,0,5,0,0,hy,on,hyr,ron
jalil,0,0,5,0,0,ja,il,jal,lil
jason,0,0,5,0,0,ja,on,jas,son
jessie,0,0,6,0,1,je,ie,jes,sie
johs,0,0,4,0,0,jo,hs,joh,ohs
jothan,0,0,6,0,0,jo,an,jot,han
juan,0,0,4,0,0,ju,an,jua,uan
kadeem,0,0,6,0,0,ka,em,kad,eem
kelby,0,0,5,0,0,ke,by,kel,lby
kendrick,0,0,8,0,0,ke,ck,ken,ick
kenyonne,0,0,8,0,1,ke,ne,ken,nne
lamon,0,0,5,0,0,la,on,lam,mon
lamont,0,0,6,0,0,la,nt,lam,ont
lashaw,0,0,6,0,0,la,aw,las,haw
leeto,0,0,5,0,1,le,to,lee,eto
litorrence,0,0,10,0,1,li,ce,lit,nce
lugene,0,0,6,0,1,lu,ne,lug,ene
luther,0,0,6,0,0,lu,er,lut,her
lynn  iii,0,0,9,0,1,ly,ii,lyn,iii
mack,0,0,4,0,0,ma,ck,mac,ack
marquiz,0,0,7,0,0,ma,iz,mar,uiz
martez,0,0,6,0,0,ma,ez,mar,tez
martin,0,0,6,0,0,ma,in,mar,tin
marty,0,0,5,0,0,ma,ty,mar,rty
mecco,0,0,5,0,1,me,co,mec,cco
milton,0,0,6,0,0,mi,on,mil,ton
monroe,0,0,6,0,1,mo,oe,mon,roe
jee,0,0,3,0,1,je,ee,jee,jee
norman,0,0,6,0,0,no,an,nor,man
pernell iii,0,0,11,0,1,pe,ii,per,iii
pierre,0,0,6,0,1,pi,re,pie,rre
quentine,0,0,8,0,1,qu,ne,que,ine
quinell,0,0,7,0,0,qu,ll,qui,ell
quintin,0,0,7,0,0,qu,in,qui,tin
quinton,0,0,7,0,0,qu,on,qui,ton
ralph  iii,0,0,10,0,1,ra,ii,ral,iii
robert iii,0,0,10,0,1,ro,ii,rob,iii
rodrick,0,0,7,0,0,ro,ck,rod,ick
rodrickas,0,0,9,0,0,ro,as,rod,kas
shane,0,0,5,0,1,sh,ne,sha,ane
shedrick,0,0,8,0,0,sh,ck,she,ick
shermon,0,0,7,0,0,sh,on,she,mon
solomon,0,0,7,0,0,so,on,sol,mon
tadarrell,0,0,9,0,0,ta,ll,tad,ell
tarrance,0,0,8,0,1,ta,ce,tar,nce
tomarcus,0,0,8,0,0,to,us,tom,cus
trammell,0,0,8,0,0,tr,ll,tra,ell
tremon,0,0,6,0,0,tr,on,tre,mon
turell,0,0,6,0,0,tu,ll,tur,ell
vinson,0,0,6,0,0,vi,on,vin,son
roxroy,0,0,6,0,0,ro,oy,rox,roy
amos,0,0,4,1,0,am,os,amo,mos
roll,0,0,4,0,0,ro,ll,rol,oll
broderick,0,0,9,0,0,br,ck,bro,ick
marlan,0,0,6,0,0,ma,an,mar,lan
sadiki,0,0,6,0,1,sa,ki,sad,iki
rocky,0,0,5,0,0,ro,ky,roc,cky
shedrick iii,0,0,12,0,1,sh,ii,she,iii
robinson,0,0,8,0,0,ro,on,rob,son
jibreal,0,0,7,0,0,ji,al,jib,eal
jamar,0,0,5,0,0,ja,ar,jam,mar
phillip,0,0,7,0,0,ph,ip,phi,lip
clair,0,0,5,0,0,cl,ir,cla,air
albrian,0,0,7,1,0,al,an,alb,ian
audie,0,0,5,1,1,au,ie,aud,die
derrell,0,0,7,0,0,de,ll,der,ell
frank,0,0,5,0,0,fr,nk,fra,ank
marqus,0,0,6,0,0,ma,us,mar,qus
pressley,0,0,8,0,0,pr,ey,pre,ley
ralph iii,0,0,9,0,1,ra,ii,ral,iii
stephon,0,0,7,0,0,st,on,ste,hon
vontae,0,0,6,0,1,vo,ae,von,tae
jacques,0,0,7,0,0,ja,es,jac,ues
christian,0,0,9,0,0,ch,an,chr,ian
douvens,0,0,7,0,0,do,ns,dou,ens
harold,0,0,6,0,0,ha,ld,har,old
princeo,0,0,7,0,1,pr,eo,pri,ceo
ruben,0,0,5,0,0,ru,en,rub,ben
wilner,0,0,6,0,0,wi,er,wil,ner
thanile,0,0,7,0,1,th,le,tha,ile
eliezer,0,0,7,1,0,el,er,eli,zer
victor,0,0,6,0,0,vi,or,vic,tor
fredly,0,0,6,0,0,fr,ly,fre,dly
hanrott,0,0,7,0,0,ha,tt,han,ott
jose,0,0,4,0,1,jo,se,jos,ose
guenson,0,0,7,0,0,gu,on,gue,son
davidson,0,0,8,0,0,da,on,dav,son
ashton,0,0,6,1,0,as,on,ash,ton
rakeem,0,0,6,0,0,ra,em,rak,eem
wallasse,0,0,8,0,1,wa,se,wal,sse
darnell,0,0,7,0,0,da,ll,dar,ell
paulos,0,0,6,0,0,pa,os,pau,los
reildo,0,0,6,0,1,re,do,rei,ldo
arnold,0,0,6,1,0,ar,ld,arn,old
wilbert,0,0,7,0,0,wi,rt,wil,ert
adonis,0,0,6,1,0,ad,is,ado,nis
alton,0,0,5,1,0,al,on,alt,ton
antwon,0,0,6,1,0,an,on,ant,won
artez,0,0,5,1,0,ar,ez,art,tez
atticus,0,0,7,1,0,at,us,att,cus
barry,0,0,5,0,0,ba,ry,bar,rry
bryan,0,0,5,0,0,br,an,bry,yan
carlton,0,0,7,0,0,ca,on,car,ton
cornelious,0,0,10,0,0,co,us,cor,ous
craig,0,0,5,0,0,cr,ig,cra,aig
darren,0,0,6,0,0,da,en,dar,ren
demarius,0,0,8,0,0,de,us,dem,ius
derious,0,0,7,0,0,de,us,der,ous
dennis,0,0,6,0,0,de,is,den,nis
devon,0,0,5,0,0,de,on,dev,von
dominic,0,0,7,0,0,do,ic,dom,nic
dovon,0,0,5,0,0,do,on,dov,von
dunton,0,0,6,0,0,du,on,dun,ton
ekiel,0,0,5,1,0,ek,el,eki,iel
emmitt iii,0,0,10,1,1,em,ii,emm,iii
ernest,0,0,6,1,0,er,st,ern,est
ethan,0,0,5,1,0,et,an,eth,han
fitzgerald,0,0,10,0,0,fi,ld,fit,ald
fred,0,0,4,0,0,fr,ed,fre,red
glen,0,0,4,0,0,gl,en,gle,len
goldwire,0,0,8,0,1,go,re,gol,ire
haywood,0,0,7,0,0,ha,od,hay,ood
henry iii,0,0,9,0,1,he,ii,hen,iii
iris,0,0,4,1,0,ir,is,iri,ris
ivan,0,0,4,1,0,iv,an,iva,van
ivory,0,0,5,1,0,iv,ry,ivo,ory
jacary,0,0,6,0,0,ja,ry,jac,ary
jamah,0,0,5,0,0,ja,ah,jam,mah
jamir,0,0,5,0,0,ja,ir,jam,mir
jared,0,0,5,0,0,ja,ed,jar,red
jaron,0,0,5,0,0,ja,on,jar,ron
jarrod,0,0,6,0,0,ja,od,jar,rod
jeffery,0,0,7,0,0,je,ry,jef,ery
jermaine,0,0,8,0,1,je,ne,jer,ine
jermel,0,0,6,0,0,je,el,jer,mel
joey,0,0,4,0,0,jo,ey,joe,oey
joseph iii,0,0,10,0,1,jo,ii,jos,iii
karey,0,0,5,0,0,ka,ey,kar,rey
keen,0,0,4,0,0,ke,en,kee,een
kelly  iii,0,0,10,0,1,ke,ii,kel,iii
kenio,0,0,5,0,1,ke,io,ken,nio
kevin  iii,0,0,10,0,1,ke,ii,kev,iii
kimwasia,0,0,8,0,1,ki,ia,kim,sia
kobi,0,0,4,0,1,ko,bi,kob,obi
lazel,0,0,5,0,0,la,el,laz,zel
levar,0,0,5,0,0,le,ar,lev,var
lydell,0,0,6,0,0,ly,ll,lyd,ell
macarthur,0,0,9,0,0,ma,ur,mac,hur
malik,0,0,5,0,0,ma,ik,mal,lik
marco,0,0,5,0,1,ma,co,mar,rco
marl,0,0,4,0,0,ma,rl,mar,arl
marquice,0,0,8,0,1,ma,ce,mar,ice
martrez,0,0,7,0,0,ma,ez,mar,rez
mason,0,0,5,0,0,ma,on,mas,son
monquelle,0,0,9,0,1,mo,le,mon,lle
montez,0,0,6,0,0,mo,ez,mon,tez
moses,0,0,5,0,0,mo,es,mos,ses
murice,0,0,6,0,1,mu,ce,mur,ice
than,0,0,4,0,0,th,an,tha,han
pedro,0,0,5,0,1,pe,ro,ped,dro
pernell,0,0,7,0,0,pe,ll,per,ell
quentin,0,0,7,0,0,qu,in,que,tin
rashard,0,0,7,0,0,ra,rd,ras,ard
raymond  iii,0,0,12,0,1,ra,ii,ray,iii
regiol,0,0,6,0,0,re,ol,reg,iol
remiz,0,0,5,0,0,re,iz,rem,miz
richard iii,0,0,11,0,1,ri,ii,ric,iii
roderick,0,0,8,0,0,ro,ck,rod,ick
russell,0,0,7,0,0,ru,ll,rus,ell
sherman,0,0,7,0,0,sh,an,she,man
sinclair,0,0,8,0,0,si,ir,sin,air
tad,0,0,3,0,0,ta,ad,tad,tad
tavares,0,0,7,0,0,ta,es,tav,res
terrel,0,0,6,0,0,te,el,ter,rel
thaddeus,0,0,8,0,0,th,us,tha,eus
theodore,0,0,8,0,1,th,re,the,ore
tremayne,0,0,8,0,1,tr,ne,tre,yne
tyrone,0,0,6,0,1,ty,ne,tyr,one
undray,0,0,6,1,0,un,ay,und,ray
walter,0,0,6,0,0,wa,er,wal,ter
willis,0,0,6,0,0,wi,is,wil,lis
winford,0,0,7,0,0,wi,rd,win,ord
winston,0,0,7,0,0,wi,on,win,ton
edwin,0,0,5,1,0,ed,in,edw,win
bruno,0,0,5,0,1,br,no,bru,uno
roberson,0,0,8,0,0,ro,on,rob,son
wilet,0,0,5,0,0,wi,et,wil,let
wilson,0,0,6,0,0,wi,on,wil,son
noelson,0,0,7,0,0,no,on,noe,son
norise,0,0,6,0,1,no,se,nor,ise
breon,0,0,5,0,0,br,on,bre,eon
byron,0,0,5,0,0,by,on,byr,ron
charleston,0,0,10,0,0,ch,on,cha,ton
dallas,0,0,6,0,0,da,as,dal,las
dexter,0,0,6,0,0,de,er,dex,ter
douglas,0,0,7,0,0,do,as,dou,las
dwayne,0,0,6,0,1,dw,ne,dwa,yne
elliot,0,0,6,1,0,el,ot,ell,iot
everett iii,0,0,11,1,1,ev,ii,eve,iii
