name,gender,race,length
gratto o,0,1,8
jeremy o,0,1,8
joshua,0,1,6
juan e,0,1,6
rodrigo,0,1,7
kenneth,0,1,7
jeremy d,0,1,8
marco a,0,1,7
roberto g,0,1,9
bobby a,0,1,7
jose b,0,1,6
billy e,0,1,7
norberto,0,1,8
edwin f,0,1,7
christian,0,1,9
alexis m,0,1,8
arm,0,1,3
jose r,0,1,6
mario a,0,1,7
ralph,0,1,5
nelson,0,1,6
mateo s,0,1,7
ramiro,0,1,6
anthony d,0,1,9
alexis s,0,1,8
edilsar,0,1,7
eliseo,0,1,6
hector e,0,1,8
osvaldo,0,1,7
richard,0,1,7
wilmer,0,1,6
elvin l,0,1,7
victor e,0,1,8
risquermi,0,1,9
hyosvany,0,1,8
abraham,0,1,7
eric m,0,1,6
jomar m,0,1,7
wilfredo,0,1,8
justo,0,1,5
luis l,0,1,6
adrian s,0,1,8
charles d,0,1,9
pedro a,0,1,7
angel r,0,1,7
tony,0,1,4
melvin a,0,1,8
arturo,0,1,6
mario l,0,1,7
frank r,0,1,7
troy,0,1,4
alexis x,0,1,8
johnel,0,1,6
elias,0,1,5
osny,0,1,4
victor r,0,1,8
freddy m,0,1,8
joe l,0,1,5
felix r,0,1,7
harold a,0,1,8
gabriel,0,1,7
gonzalo,0,1,7
joseph j,0,1,8
yamil,0,1,5
geraro,0,1,6
adam i,0,1,6
ulises,0,1,6
santos,0,1,6
lui g,0,1,5
nicholas j,0,1,10
rafael a,0,1,8
yordany a,0,1,9
augustin r,0,1,10
efrain p,0,1,8
gero,0,1,4
edwin a,0,1,7
wilson d,0,1,8
frank t,0,1,7
juan jr,0,1,7
oscar a,0,1,7
oscar e,0,1,7
roemy,0,1,5
adrian,0,1,6
gustavo m,0,1,9
jesus m,0,1,7
jorge a,0,1,7
juan b,0,1,6
stalin,0,1,6
yan a,0,1,5
geronimo,0,1,8
jaime h,0,1,7
matias g,0,1,8
samuel,0,1,6
jaime jr,0,1,8
mark n,0,1,6
rogerio jr,0,1,10
julius r jr,0,1,11
octavio,0,1,7
lazaro g,0,1,8
jordan,0,1,6
jorge l,0,1,7
antonio c,0,1,9
alvaro m,0,1,8
luis jr,0,1,7
pascual p,0,1,9
lester,0,1,6
jorge e jr,0,1,10
astacio m,0,1,9
carlos m,0,1,8
luis m,0,1,6
filiberto,0,1,9
jeremia,0,1,7
rodolfo,0,1,7
jothan p,0,1,8
jose m jr,0,1,9
joshua r,0,1,8
erick,0,1,5
carmelo,0,1,7
antonio v,0,1,9
oliver r,0,1,8
mark a,0,1,6
john k,0,1,6
javier a,0,1,8
yeramis,0,1,7
gregorio,0,1,8
reildo s,0,1,8
kevin g,0,1,7
rico,0,1,4
victor m,0,1,8
josue j jr,0,1,10
josue n,0,1,7
gamaliel a,0,1,10
luis b,0,1,6
melvin,0,1,6
obed,0,1,4
peter,0,1,5
virgilio,0,1,8
juan h,0,1,6
dony a,0,1,6
gelacio,0,1,7
pablo d,0,1,7
rafael f,0,1,8
antony r,0,1,8
juan d,0,1,6
hector o,0,1,8
ashmed s,0,1,8
freddy,0,1,6
jerry,0,1,5
alesis,0,1,6
freddie a,0,1,9
joseph m,0,1,8
joyce,0,1,5
michael w,0,1,9
ricardo e,0,1,9
rold,0,1,4
samuel m,0,1,8
samuel p,0,1,8
ruben o,0,1,7
joshuabner,0,1,10
edgar m,0,1,7
marcos a,0,1,8
hern,0,1,4
edgardo c,0,1,9
robert t,0,1,8
darryl n,0,1,8
joseph w iii,0,1,12
nelson a,0,1,8
ricardo d,0,1,9
sergio l,0,1,8
robert a,0,1,8
charley,0,1,7
angel s,0,1,7
marlon,0,1,6
joseph a,0,1,8
omar a,0,1,6
auguste c,0,1,9
sergio,0,1,6
basilio j,0,1,9
mario,0,1,5
edgar,0,1,5
oliver,0,1,6
joel o,0,1,6
alcides f,0,1,9
eli,0,1,3
gabriel a,0,1,9
timoteo e,0,1,9
isaac j,0,1,7
william r,0,1,9
alfredo,0,1,7
darrell w,0,1,9
william d,0,1,9
michael d,0,1,9
fermin,0,1,6
stanley u,0,1,9
able d,0,1,6
anthony r,0,1,9
christian v,0,1,11
christopher j,0,1,13
danny,0,1,5
danny d,0,1,7
domieon,0,1,7
eli jr,0,1,6
emanuel,0,1,7
gilberto,0,1,8
john a jr,0,1,9
jorge c,0,1,7
jorge d,0,1,7
jose c,0,1,6
jose j jr,0,1,9
junior m,0,1,8
martin,0,1,6
thaniel,0,1,7
nelson c,0,1,8
onesimo l,0,1,9
oscar l,0,1,7
osvaldo d,0,1,9
richard d,0,1,9
roberto jr,0,1,10
steven,0,1,6
victor v,0,1,8
epigmenio,0,1,9
emilio d,0,1,8
enique,0,1,6
jose i,0,1,6
juan r,0,1,6
jorge m,0,1,7
pedro j,0,1,7
eric j,0,1,6
alain,0,1,5
jothan d,0,1,8
nilton,0,1,6
james e,0,1,7
arthur r,0,1,8
rodrigues l,0,1,11
douglas a,0,1,9
michael p,0,1,9
roberto a,0,1,9
rol,0,1,3
alfonso a,0,1,9
kelvin,0,1,6
rosendo,0,1,7
rigdel,0,1,6
jorge t,0,1,7
george,0,1,6
eddie n,0,1,7
timoteo g,0,1,9
edwardo,0,1,7
edgar d,0,1,7
jose l jr,0,1,9
edsel i,0,1,7
elvido a,0,1,8
leo m,0,1,5
ramiro v,0,1,8
eric,0,1,4
george e,0,1,8
tracy,0,1,5
berto,0,1,5
eliu,0,1,4
fulgencio jr,0,1,12
nelson g,0,1,8
carlos s,0,1,8
humberto jr,0,1,11
ismael,0,1,6
jeriel j,0,1,8
luis o,0,1,6
ezequiel,0,1,8
joel,0,1,4
alex e,0,1,6
manuel r,0,1,8
eduardo e,0,1,9
hector a,0,1,8
roberto e,0,1,9
juarez c,0,1,8
charles a,0,1,9
juan miguel m,0,1,13
abimael r,0,1,9
alberto l,0,1,9
alfredo a,0,1,9
angel g,0,1,7
antonio g,0,1,9
avissmael,0,1,9
baltazar j,0,1,10
edgardo jr,0,1,10
eduardo r,0,1,9
eliezer v,0,1,9
jairo j,0,1,7
jean a,0,1,6
julian m,0,1,8
laudi,0,1,5
lazaro j,0,1,8
lazaro r,0,1,8
lorenzo c,0,1,9
marco g,0,1,7
marino e iii,0,1,12
nilton j,0,1,8
rene c,0,1,6
rene v,0,1,6
romel,0,1,5
socorro m,0,1,9
yanker o,0,1,8
clemente,0,1,8
yasmany,0,1,7
manuel,0,1,6
eder,0,1,4
francisco f,0,1,11
alberto r,0,1,9
abraham j,0,1,9
adalberto,0,1,9
john,0,1,4
christian r,0,1,11
mario j,0,1,7
yarcet,0,1,6
astacio,0,1,7
isidro,0,1,6
pedro e,0,1,7
manuel c,0,1,8
bryan j,0,1,7
rold c,0,1,6
victor m jr,0,1,11
jose o,0,1,6
philip a,0,1,8
frank l,0,1,7
pedro b,0,1,7
arnulfo,0,1,7
ricardo f,0,1,9
irving,0,1,6
adalberto r,0,1,11
abelardo,0,1,8
calixto m,0,1,9
douglas m,0,1,9
jhoan e,0,1,7
miguel a jr,0,1,11
alexis j,0,1,8
danilo a,0,1,8
ramon v,0,1,7
herminio,0,1,8
gildardo b,0,1,10
juan n,0,1,6
misael v,0,1,8
abram,0,1,5
bonifacio,0,1,9
angel h,0,1,7
axel o,0,1,6
ernesto jr,0,1,10
ian f,0,1,5
jimmy,0,1,5
rudy,0,1,4
akonialii h,0,1,11
marcus m,0,1,8
fonseca j,0,1,9
eddie b,0,1,7
julian q,0,1,8
william m,0,1,9
nelson jr,0,1,9
ramon a,0,1,7
sherwin x,0,1,9
kenneth e jr,0,1,12
erick t,0,1,7
norin jr,0,1,8
alex j,0,1,6
dennis,0,1,6
domingo a,0,1,9
edwin m,0,1,7
joao r,0,1,6
jorge i,0,1,7
milton v,0,1,8
onelio,0,1,6
pedro p,0,1,7
rafael l,0,1,8
waldo,0,1,5
jothan j,0,1,8
reult j,0,1,7
jovel,0,1,5
stephen m,0,1,9
geraldo p,0,1,9
oscar g,0,1,7
manuel f,0,1,8
aless,0,1,5
efrain j,0,1,8
elliott,0,1,7
joel e,0,1,6
charles t,0,1,9
jamie,0,1,5
abraham c,0,1,9
florentino j,0,1,12
jason e,0,1,7
jason r,0,1,7
jose s,0,1,6
lazaro,0,1,6
tepetlanco m,0,1,12
michael e,0,1,9
orestes,0,1,7
soamy,0,1,5
eddy,0,1,4
geraldo jr,0,1,10
joey,0,1,4
roberto ii,0,1,10
mijail,0,1,6
mario c,0,1,7
rudolfo,0,1,7
raul a,0,1,6
alfredo u,0,1,9
arcadio l,0,1,9
abel m,0,1,6
alfonso,0,1,7
julio jr,0,1,8
gdyan d,0,1,7
rold g,0,1,6
albert,0,1,6
amado jr,0,1,8
anthony a,0,1,9
anthony c,0,1,9
anthony g,0,1,9
benjamin r,0,1,10
bulfrano,0,1,8
carlos jr,0,1,9
cecilio j,0,1,9
clemente e,0,1,10
daniel a,0,1,8
daniel c,0,1,8
danny r,0,1,7
dino m,0,1,6
emmanuelle r,0,1,12
fidel,0,1,5
frank a,0,1,7
hermes m,0,1,8
jean c,0,1,6
jeffrey,0,1,7
jesse,0,1,5
julio iv,0,1,8
julio e,0,1,7
louis a,0,1,7
marco a jr,0,1,10
martin r,0,1,8
mauro,0,1,5
miguel l,0,1,8
moises v,0,1,8
nestor s,0,1,8
omar y,0,1,6
osmany,0,1,6
pablo c,0,1,7
paulino,0,1,7
radames t,0,1,9
radel,0,1,5
reyldo,0,1,6
ricardo a,0,1,9
roberto i,0,1,9
rubiel,0,1,6
rubin jr,0,1,8
timoteo,0,1,7
yeremis,0,1,7
franciso,0,1,8
david m,0,1,7
mariano,0,1,7
haniel,0,1,6
gil e,0,1,5
areli,0,1,5
eleuterio,0,1,9
jesus r jr,0,1,10
louis m,0,1,7
christopher l,0,1,13
rigoberto,0,1,9
raymond o,0,1,9
feliciano,0,1,9
joseph,0,1,6
alexis,0,1,6
ariel a,0,1,7
benny,0,1,5
dymar m,0,1,7
elantonio t,0,1,11
jeremias v,0,1,10
luis c,0,1,6
thomas d,0,1,8
eugenio j,0,1,9
jose e,0,1,6
americo,0,1,7
nery osbeli,0,1,11
eligio,0,1,6
steven j,0,1,8
anjel,0,1,5
juan a jr,0,1,9
nicholes m,0,1,10
rito e,0,1,6
aurelio,0,1,7
danniel,0,1,7
eduardo a,0,1,9
esteban,0,1,7
everett j,0,1,9
faustino,0,1,8
genrry,0,1,6
heriberto jr,0,1,12
ian,0,1,3
ivan,0,1,4
ivan v,0,1,6
jonpaul,0,1,7
josue m,0,1,7
luis a jr,0,1,9
milton j,0,1,8
modesto,0,1,7
